"start","end","text"
"1420","2000"," (Transcribed by TurboScribe.ai - Go Unlimited to remove this message) Okay,"
"2140","2340"," let's"
"2340","2620"," start."
"5520","6100"," The"
"6100","6420"," power"
"6420","6560"," of"
"6560","7020"," photography"
"7020","7820"," is"
"7820","8320"," more"
"8320","8480"," than"
"8480","8700"," just"
"8700","9160"," documentation."
"9580","9640"," It's"
"9640","9740"," a"
"9740","9920"," form"
"9920","10060"," of"
"10060","10240"," self "
"10240","10820","-expression. "
"11600","12180"," It"
"12180","12380"," really"
"12380","12640"," has"
"12640","12820"," a"
"12820","13060"," way"
"13060","13320"," of"
"13320","13780"," creating"
"13780","14300"," perceptions"
"14300","14680"," and"
"14680","14920"," also"
"14920","15360"," forming"
"15360","16080"," perspectives."
"17100","17260"," I"
"17260","17560"," believe"
"17560","17700"," in"
"17700","17840"," the"
"17840","18060"," power"
"18060","18160"," of"
"18160","18240"," the"
"18240","18500"," image"
"18500","18720"," can"
"18720","19100"," implement"
"19100","19640"," change."
"20120","20340"," I'm"
"20340","20560"," Ida"
"20560","20900"," Mulune,"
"21060","21260"," I'm"
"21260","21360"," a"
"21360","21600"," change"
"21600","21920"," maker. "
"23920","24120"," The"
"24120","24660"," surreal"
"24660","25260"," worlds"
"25260","25820"," created"
"25820","26480"," by"
"26480","26900"," award "
"26900","27100","-winning"
"27100","27720"," photographer"
"27720","28280"," Ida"
"28280","28660"," Mulune"
"28660","29360"," evoke"
"29360","29720"," deep"
"29720","30360"," conversations"
"30360","31040"," about"
"31040","31520"," African"
"31520","32000"," life."
"33640","34280"," From"
"34280","34440"," her"
"34440","34820"," studio"
"34820","35140"," in"
"35140","35720"," Abidjan,"
"36280","36540"," Ida"
"36540","37140"," carefully"
"37140","37540"," crafts"
"37540","38020"," images"
"38020","38660"," as"
"38660","38820"," her"
"38820","39000"," way"
"39000","39160"," to"
"39160","39660"," unfold"
"39660","40160"," the"
"40160","40580"," history"
"40580","40940"," of"
"40940","41080"," the"
"41080","41440"," continent."
"42080","42280"," The"
"42280","42600"," fact"
"42600","42820"," that,"
"42840","42960"," you"
"42960","43120"," know,"
"43220","43400"," in"
"43400","43800"," Africa,"
"44340","44500"," we,"
"45000","45320"," culture"
"45320","45520"," is"
"45520","45760"," part"
"45760","45860"," of"
"45860","45980"," our"
"45980","46360"," life. "
"46700","46760"," You"
"46760","46840"," know,"
"46920","47240"," creativity"
"47240","47500"," is"
"47500","47680"," part"
"47680","47780"," of"
"47780","47920"," our"
"47920","48260"," life."
"48540","48780"," And"
"48780","49520"," even,"
"49680","50080"," you"
"50080","50160"," know,"
"50160","50280"," a"
"50280","50380"," lot"
"50380","50480"," of"
